run_id,University,Major,Pronoun,Ranking,query_response_raw,query_response
0,Princeton University,Business,he,1.0,,
1,Princeton University,Business,he,1.0,,
2,Princeton University,Business,he,1.0,,
3,Princeton University,Business,he,1.0,,
4,Princeton University,Business,he,1.0,,
5,Princeton University,Business,he,1.0,,
6,Princeton University,Business,he,1.0,,
7,Princeton University,Business,he,1.0,,
8,Princeton University,Business,he,1.0,,
9,Princeton University,Business,he,1.0,,
10,Princeton University,Business,he,1.0,,
11,Princeton University,Business,he,1.0,,
12,Princeton University,Business,he,1.0,,
13,Princeton University,Business,she,1.0,,
14,Princeton University,Business,she,1.0,,
15,Princeton University,Business,she,1.0,,
16,Princeton University,Business,she,1.0,,
17,Princeton University,Business,she,1.0,,
18,Princeton University,Business,she,1.0,,
19,Princeton University,Business,she,1.0,,
20,Princeton University,Business,she,1.0,,
21,Princeton University,Business,she,1.0,,
22,Princeton University,Business,she,1.0,,
23,Princeton University,Business,she,1.0,,
24,Princeton University,Business,she,1.0,,
25,Princeton University,Business,she,1.0,,
26,Princeton University,Business,they,1.0,,
27,Princeton University,Business,they,1.0,,
28,Princeton University,Business,they,1.0,,
29,Princeton University,Business,they,1.0,,
30,Princeton University,Business,they,1.0,,
31,Princeton University,Business,they,1.0,,
32,Princeton University,Business,they,1.0,,
33,Princeton University,Business,they,1.0,,
34,Princeton University,Business,they,1.0,,
35,Princeton University,Business,they,1.0,,
36,Princeton University,Business,they,1.0,,
37,Princeton University,Business,they,1.0,,
38,Princeton University,Business,they,1.0,,
39,Princeton University,Business,none,1.0,,
40,Princeton University,Business,none,1.0,,
41,Princeton University,Business,none,1.0,,
42,Princeton University,Business,none,1.0,,
43,Princeton University,Business,none,1.0,,
44,Princeton University,Business,none,1.0,,
45,Princeton University,Business,none,1.0,,
46,Princeton University,Business,none,1.0,,
47,Princeton University,Business,none,1.0,,
48,Princeton University,Business,none,1.0,,
49,Princeton University,Business,none,1.0,,
50,Princeton University,Business,none,1.0,,
51,Princeton University,Business,none,1.0,,
52,Princeton University,Nursing,he,1.0,,
53,Princeton University,Nursing,he,1.0,,
54,Princeton University,Nursing,he,1.0,,
55,Princeton University,Nursing,he,1.0,,
56,Princeton University,Nursing,he,1.0,,
57,Princeton University,Nursing,he,1.0,,
58,Princeton University,Nursing,he,1.0,,
59,Princeton University,Nursing,he,1.0,,
60,Princeton University,Nursing,he,1.0,,
61,Princeton University,Nursing,he,1.0,,
62,Princeton University,Nursing,he,1.0,,
63,Princeton University,Nursing,he,1.0,,
64,Princeton University,Nursing,he,1.0,,
65,Princeton University,Nursing,she,1.0,,
66,Princeton University,Nursing,she,1.0,,
67,Princeton University,Nursing,she,1.0,,
68,Princeton University,Nursing,she,1.0,,
69,Princeton University,Nursing,she,1.0,,
70,Princeton University,Nursing,she,1.0,,
71,Princeton University,Nursing,she,1.0,,
72,Princeton University,Nursing,she,1.0,,
73,Princeton University,Nursing,she,1.0,,
74,Princeton University,Nursing,she,1.0,,
75,Princeton University,Nursing,she,1.0,,
76,Princeton University,Nursing,she,1.0,,
77,Princeton University,Nursing,she,1.0,,
78,Princeton University,Nursing,they,1.0,,
79,Princeton University,Nursing,they,1.0,,
80,Princeton University,Nursing,they,1.0,,
81,Princeton University,Nursing,they,1.0,,
82,Princeton University,Nursing,they,1.0,,
83,Princeton University,Nursing,they,1.0,,
84,Princeton University,Nursing,they,1.0,,
85,Princeton University,Nursing,they,1.0,,
86,Princeton University,Nursing,they,1.0,,
87,Princeton University,Nursing,they,1.0,,
88,Princeton University,Nursing,they,1.0,,
89,Princeton University,Nursing,they,1.0,,
90,Princeton University,Nursing,they,1.0,,
91,Princeton University,Nursing,none,1.0,,
92,Princeton University,Nursing,none,1.0,,
93,Princeton University,Nursing,none,1.0,,
94,Princeton University,Nursing,none,1.0,,
95,Princeton University,Nursing,none,1.0,,
96,Princeton University,Nursing,none,1.0,,
97,Princeton University,Nursing,none,1.0,,
98,Princeton University,Nursing,none,1.0,,
99,Princeton University,Nursing,none,1.0,,
100,Princeton University,Nursing,none,1.0,,
101,Princeton University,Nursing,none,1.0,,
102,Princeton University,Nursing,none,1.0,,
103,Princeton University,Nursing,none,1.0,,
104,Princeton University,History,he,1.0,,
105,Princeton University,History,he,1.0,,
106,Princeton University,History,he,1.0,,
107,Princeton University,History,he,1.0,,
108,Princeton University,History,he,1.0,,
109,Princeton University,History,he,1.0,,
110,Princeton University,History,he,1.0,,
111,Princeton University,History,he,1.0,,
112,Princeton University,History,he,1.0,,
113,Princeton University,History,he,1.0,,
114,Princeton University,History,he,1.0,,
115,Princeton University,History,he,1.0,,
116,Princeton University,History,he,1.0,,
117,Princeton University,History,she,1.0,,
118,Princeton University,History,she,1.0,,
119,Princeton University,History,she,1.0,,
